Date and time;Alarm;Status
19/06/2022 22:25:42;Sensor #2 High Temp;OFF
19/06/2022 22:25:42;Sensor #2 High Temp;ON
19/06/2022 22:15:01;Sensor #2 Low Temp;OFF
19/06/2022 22:15:01;Sensor #2 Low Temp;ON
19/06/2022 22:11:28;Sensor #2 High Temp;OFF
19/06/2022 22:11:28;Sensor #2 High Temp;ON
19/06/2022 09:40:48;Last sensor or Gateway Communication error;ON
19/06/2022 09:25:26;Sensor #3 module error;ON
19/06/2022 09:25:26;Sensor #3 Low Supercapacitor voltage;ON
19/06/2022 09:25:26;Sensor #2 module error;ON
19/06/2022 09:25:26;Sensor #2 Low Supercapacitor voltage;ON
19/06/2022 09:25:26;Sensor #1 module error;ON
19/06/2022 09:25:26;Sensor #1 Low Supercapacitor voltage;ON
19/06/2022 08:37:43;Sensor #3 Low Soil Hum;OFF
19/06/2022 08:37:43;Sensor #3 Low Soil Hum;ON
19/06/2022 08:37:43;Sensor #3 Low Supercapacitor voltage;OFF
19/06/2022 08:37:43;Sensor #3 module error;OFF
19/06/2022 08:37:43;Sensor #2 Low Distance;OFF
19/06/2022 08:37:43;Sensor #2 Low Distance;ON
19/06/2022 08:37:43;Sensor #2 Low Supercapacitor voltage;OFF
19/06/2022 08:37:43;Sensor #2 module error;OFF
19/06/2022 08:37:43;Sensor #1 Low Hum;OFF
19/06/2022 08:37:43;Sensor #1 Low Hum;ON
19/06/2022 08:37:43;Sensor #1 Low Supercapacitor voltage;OFF
19/06/2022 08:37:43;Sensor #1 module error;OFF
19/06/2022 08:24:38;Last sensor or Gateway Communication error;OFF
19/06/2022 08:23:35;Last sensor or Gateway Communication error;ON
19/06/2022 04:01:44;Sensor #3 module error;ON
19/06/2022 04:01:44;Sensor #3 Low Supercapacitor voltage;ON
19/06/2022 04:01:44;Sensor #2 module error;ON
19/06/2022 04:01:44;Sensor #2 Low Supercapacitor voltage;ON
19/06/2022 04:01:44;Sensor #1 module error;ON
19/06/2022 04:01:44;Sensor #1 Low Supercapacitor voltage;ON
19/06/2022 00:12:51;Sensor #4 Low Temp;OFF
19/06/2022 00:12:51;Sensor #4 Low Temp;ON
18/06/2022 23:01:28;Sensor #4 High Temp;OFF
18/06/2022 23:01:28;Sensor #4 High Temp;ON
18/06/2022 21:54:11;Sensor #3 High Soil Hum;OFF
18/06/2022 21:53:40;Sensor #3 High Soil Hum;ON
18/06/2022 21:51:07;Sensor #3 High Soil Hum;OFF
18/06/2022 21:41:57;Sensor #3 High Soil Hum;ON
18/06/2022 21:40:56;Sensor #3 High Soil Hum;OFF
18/06/2022 21:39:54;Sensor #3 High Soil Hum;ON
18/06/2022 21:39:24;Sensor #3 High Soil Hum;OFF
18/06/2022 21:38:53;Sensor #3 High Soil Hum;ON
18/06/2022 21:38:23;Sensor #3 High Soil Hum;OFF
18/06/2022 21:37:21;Sensor #3 High Soil Hum;ON
18/06/2022 21:35:50;Sensor #3 High Soil Hum;OFF
18/06/2022 21:35:19;Sensor #3 High Soil Hum;ON
18/06/2022 21:34:49;Sensor #3 High Soil Hum;OFF
18/06/2022 21:34:18;Sensor #3 High Soil Hum;ON
18/06/2022 21:33:47;Sensor #3 High Soil Hum;OFF
