Date and time;Alarm;Status
13/06/2022 10:00:21;Sensor #24 module error;OFF
13/06/2022 10:00:21;Sensor #23 Low Supercapacitor voltage;OFF
13/06/2022 10:00:21;Sensor #23 module error;OFF
13/06/2022 10:00:21;Sensor #22 Low Supercapacitor voltage;OFF
13/06/2022 10:00:21;Sensor #22 module error;OFF
13/06/2022 10:00:21;Sensor #21 Low Supercapacitor voltage;OFF
13/06/2022 10:00:21;Sensor #21 module error;OFF
13/06/2022 10:00:21;Sensor #20 Low Supercapacitor voltage;OFF
13/06/2022 10:00:21;Sensor #20 module error;OFF
13/06/2022 10:00:20;Sensor #19 Low Supercapacitor voltage;OFF
13/06/2022 10:00:20;Sensor #19 module error;OFF
13/06/2022 10:00:20;Sensor #18 Low Supercapacitor voltage;OFF
13/06/2022 10:00:20;Sensor #18 module error;OFF
13/06/2022 10:00:20;Sensor #17 Low Supercapacitor voltage;OFF
13/06/2022 10:00:20;Sensor #17 module error;OFF
13/06/2022 10:00:20;Sensor #16 Low Supercapacitor voltage;OFF
13/06/2022 10:00:20;Sensor #16 module error;OFF
13/06/2022 10:00:20;Sensor #15 Low Supercapacitor voltage;OFF
13/06/2022 10:00:20;Sensor #15 module error;OFF
13/06/2022 10:00:20;Sensor #14 Low Supercapacitor voltage;OFF
13/06/2022 10:00:20;Sensor #14 module error;OFF
13/06/2022 10:00:19;Sensor #13 Low Supercapacitor voltage;OFF
13/06/2022 10:00:19;Sensor #13 module error;OFF
13/06/2022 10:00:19;Sensor #12 Low Supercapacitor voltage;OFF
13/06/2022 10:00:19;Sensor #12 module error;OFF
13/06/2022 10:00:19;Sensor #11 Low Supercapacitor voltage;OFF
13/06/2022 10:00:19;Sensor #11 module error;OFF
13/06/2022 10:00:19;Sensor #10 Low Supercapacitor voltage;OFF
13/06/2022 10:00:19;Sensor #10 module error;OFF
13/06/2022 10:00:19;Sensor #9 Low Supercapacitor voltage;OFF
13/06/2022 10:00:19;Sensor #9 module error;OFF
13/06/2022 10:00:19;Sensor #8 Low Supercapacitor voltage;OFF
13/06/2022 10:00:19;Sensor #8 module error;OFF
13/06/2022 10:00:18;Sensor #7 Low Supercapacitor voltage;OFF
13/06/2022 10:00:18;Sensor #7 module error;OFF
13/06/2022 10:00:18;Sensor #6 Low Supercapacitor voltage;OFF
13/06/2022 10:00:18;Sensor #6 module error;OFF
13/06/2022 10:00:18;Sensor #5 Low Supercapacitor voltage;OFF
13/06/2022 10:00:18;Sensor #5 module error;OFF
13/06/2022 10:00:18;Sensor #4 Low Supercapacitor voltage;OFF
13/06/2022 10:00:18;Sensor #4 module error;OFF
13/06/2022 10:00:18;Sensor #3 Low Supercapacitor voltage;OFF
13/06/2022 10:00:18;Sensor #3 module error;OFF
13/06/2022 10:00:18;Sensor #2 Low Supercapacitor voltage;OFF
13/06/2022 10:00:18;Sensor #2 module error;OFF
13/06/2022 10:00:17;Sensor #1 Low Supercapacitor voltage;OFF
13/06/2022 10:00:17;Sensor #1 module error;OFF
13/06/2022 09:58:00;Last sensor or Gateway Communication error;OFF
13/06/2022 09:56:57;Last sensor or Gateway Communication error;ON
13/06/2022 09:56:57;Sensor #24 module error;ON
13/06/2022 09:56:57;Sensor #24 Low Supercapacitor voltage;ON
13/06/2022 09:56:57;Sensor #23 module error;ON
13/06/2022 09:56:57;Sensor #23 Low Supercapacitor voltage;ON
13/06/2022 09:56:57;Sensor #22 module error;ON
13/06/2022 09:56:57;Sensor #22 Low Supercapacitor voltage;ON
13/06/2022 09:56:56;Sensor #21 module error;ON
13/06/2022 09:56:56;Sensor #21 Low Supercapacitor voltage;ON
13/06/2022 09:56:56;Sensor #20 module error;ON
13/06/2022 09:56:56;Sensor #20 Low Supercapacitor voltage;ON
13/06/2022 09:56:56;Sensor #19 module error;ON
13/06/2022 09:56:56;Sensor #19 Low Supercapacitor voltage;ON
13/06/2022 09:56:56;Sensor #18 module error;ON
13/06/2022 09:56:56;Sensor #18 Low Supercapacitor voltage;ON
13/06/2022 09:56:56;Sensor #17 module error;ON
13/06/2022 09:56:56;Sensor #17 Low Supercapacitor voltage;ON
13/06/2022 09:56:56;Sensor #16 module error;ON
13/06/2022 09:56:56;Sensor #16 Low Supercapacitor voltage;ON
13/06/2022 09:56:56;Sensor #15 module error;ON
13/06/2022 09:56:56;Sensor #15 Low Supercapacitor voltage;ON
13/06/2022 09:56:56;Sensor #14 module error;ON
13/06/2022 09:56:56;Sensor #14 Low Supercapacitor voltage;ON
13/06/2022 09:56:56;Sensor #13 module error;ON
13/06/2022 09:56:56;Sensor #13 Low Supercapacitor voltage;ON
13/06/2022 09:56:55;Sensor #12 module error;ON
13/06/2022 09:56:55;Sensor #12 Low Supercapacitor voltage;ON
13/06/2022 09:56:55;Sensor #11 module error;ON
13/06/2022 09:56:55;Sensor #11 Low Supercapacitor voltage;ON
13/06/2022 09:56:55;Sensor #10 module error;ON
13/06/2022 09:56:55;Sensor #10 Low Supercapacitor voltage;ON
13/06/2022 09:56:55;Sensor #9 module error;ON
13/06/2022 09:56:55;Sensor #9 Low Supercapacitor voltage;ON
13/06/2022 09:56:55;Sensor #8 module error;ON
13/06/2022 09:56:55;Sensor #8 Low Supercapacitor voltage;ON
13/06/2022 09:56:55;Sensor #7 module error;ON
13/06/2022 09:56:55;Sensor #7 Low Supercapacitor voltage;ON
13/06/2022 09:56:55;Sensor #6 module error;ON
13/06/2022 09:56:55;Sensor #6 Low Supercapacitor voltage;ON
13/06/2022 09:56:55;Sensor #5 module error;ON
13/06/2022 09:56:55;Sensor #5 Low Supercapacitor voltage;ON
13/06/2022 09:56:55;Sensor #4 module error;ON
13/06/2022 09:56:55;Sensor #4 Low Supercapacitor voltage;ON
13/06/2022 09:56:55;Sensor #3 module error;ON
13/06/2022 09:56:55;Sensor #3 Low Supercapacitor voltage;ON
13/06/2022 09:56:55;Sensor #2 module error;ON
13/06/2022 09:56:55;Sensor #2 Low Supercapacitor voltage;ON
13/06/2022 09:56:55;Sensor #1 module error;ON
13/06/2022 09:56:54;Sensor #1 Low Supercapacitor voltage;ON
13/06/2022 09:52:46;Sensor #47 Low Supercapacitor voltage;OFF
13/06/2022 09:52:46;Sensor #46 Low Supercapacitor voltage;OFF
13/06/2022 09:52:16;Sensor #47 Low Supercapacitor voltage;ON
13/06/2022 09:52:16;Sensor #46 module error;OFF
13/06/2022 09:52:16;Sensor #45 Low Supercapacitor voltage;OFF
13/06/2022 09:52:16;Sensor #45 module error;OFF
13/06/2022 09:52:16;Sensor #44 Low Supercapacitor voltage;OFF
13/06/2022 09:52:16;Sensor #44 module error;OFF
13/06/2022 09:52:16;Sensor #43 Low Supercapacitor voltage;OFF
13/06/2022 09:52:16;Sensor #43 module error;OFF
13/06/2022 09:52:15;Sensor #42 Low Supercapacitor voltage;OFF
13/06/2022 09:52:15;Sensor #42 module error;OFF
13/06/2022 09:52:15;Sensor #41 Low Supercapacitor voltage;OFF
13/06/2022 09:52:15;Sensor #41 module error;OFF
13/06/2022 09:52:15;Sensor #40 Low Supercapacitor voltage;OFF
13/06/2022 09:52:15;Sensor #40 module error;OFF
13/06/2022 09:52:15;Sensor #39 Low Supercapacitor voltage;OFF
13/06/2022 09:52:15;Sensor #39 module error;OFF
13/06/2022 09:52:15;Sensor #38 Low Supercapacitor voltage;OFF
13/06/2022 09:52:15;Sensor #38 module error;OFF
13/06/2022 09:52:15;Sensor #37 Low Supercapacitor voltage;OFF
13/06/2022 09:52:15;Sensor #37 module error;OFF
13/06/2022 09:52:15;Sensor #36 Low Supercapacitor voltage;OFF
13/06/2022 09:52:15;Sensor #36 module error;OFF
13/06/2022 09:52:14;Sensor #35 Low Supercapacitor voltage;OFF
13/06/2022 09:52:14;Sensor #35 module error;OFF
13/06/2022 09:52:14;Sensor #34 Low Supercapacitor voltage;OFF
13/06/2022 09:52:14;Sensor #34 module error;OFF
13/06/2022 09:52:14;Sensor #33 Low Supercapacitor voltage;OFF
13/06/2022 09:52:14;Sensor #33 module error;OFF
13/06/2022 09:52:14;Sensor #32 Low Supercapacitor voltage;OFF
13/06/2022 09:52:14;Sensor #32 module error;OFF
13/06/2022 09:52:14;Sensor #31 Low Supercapacitor voltage;OFF
13/06/2022 09:52:14;Sensor #31 module error;OFF
13/06/2022 09:52:14;Sensor #30 Low Supercapacitor voltage;OFF
13/06/2022 09:52:14;Sensor #30 module error;OFF
13/06/2022 09:52:14;Sensor #29 Low Supercapacitor voltage;OFF
13/06/2022 09:52:14;Sensor #29 module error;OFF
13/06/2022 09:52:13;Sensor #28 Low Supercapacitor voltage;OFF
13/06/2022 09:52:13;Sensor #28 module error;OFF
13/06/2022 09:52:13;Sensor #27 Low Supercapacitor voltage;OFF
13/06/2022 09:52:13;Sensor #27 module error;OFF
13/06/2022 09:52:13;Sensor #26 Low Supercapacitor voltage;OFF
13/06/2022 09:52:13;Sensor #26 module error;OFF
13/06/2022 09:52:13;Sensor #25 Low Supercapacitor voltage;OFF
13/06/2022 09:52:13;Sensor #25 module error;OFF
13/06/2022 09:52:13;Sensor #24 Low Supercapacitor voltage;OFF
13/06/2022 09:52:13;Sensor #24 module error;OFF
13/06/2022 09:52:13;Sensor #23 Low Supercapacitor voltage;OFF
13/06/2022 09:52:13;Sensor #23 module error;OFF
13/06/2022 09:52:13;Sensor #22 Low Supercapacitor voltage;OFF
13/06/2022 09:52:13;Sensor #22 module error;OFF
13/06/2022 09:52:13;Sensor #21 Low Supercapacitor voltage;OFF
13/06/2022 09:52:13;Sensor #21 module error;OFF
13/06/2022 09:52:13;Sensor #20 Low Supercapacitor voltage;OFF
13/06/2022 09:52:13;Sensor #20 module error;OFF
13/06/2022 09:52:13;Sensor #19 Low Supercapacitor voltage;OFF
13/06/2022 09:52:13;Sensor #19 module error;OFF
13/06/2022 09:52:12;Sensor #18 Low Supercapacitor voltage;OFF
13/06/2022 09:52:12;Sensor #18 module error;OFF
13/06/2022 09:52:12;Sensor #17 Low Supercapacitor voltage;OFF
13/06/2022 09:52:12;Sensor #17 module error;OFF
13/06/2022 09:52:12;Sensor #16 Low Supercapacitor voltage;OFF
13/06/2022 09:52:12;Sensor #16 module error;OFF
13/06/2022 09:52:12;Sensor #15 Low Supercapacitor voltage;OFF
13/06/2022 09:52:12;Sensor #15 module error;OFF
13/06/2022 09:52:12;Sensor #14 Low Supercapacitor voltage;OFF
13/06/2022 09:52:12;Sensor #14 module error;OFF
13/06/2022 09:52:12;Sensor #13 Low Supercapacitor voltage;OFF
13/06/2022 09:52:12;Sensor #13 module error;OFF
13/06/2022 09:52:12;Sensor #12 Low Supercapacitor voltage;OFF
13/06/2022 09:52:12;Sensor #12 module error;OFF
13/06/2022 09:52:12;Sensor #11 Low Supercapacitor voltage;OFF
13/06/2022 09:52:12;Sensor #11 module error;OFF
13/06/2022 09:52:12;Sensor #10 Low Supercapacitor voltage;OFF
13/06/2022 09:52:12;Sensor #10 module error;OFF
13/06/2022 09:52:12;Sensor #9 Low Supercapacitor voltage;OFF
13/06/2022 09:52:12;Sensor #9 module error;OFF
13/06/2022 09:52:11;Sensor #8 Low Supercapacitor voltage;OFF
13/06/2022 09:52:11;Sensor #8 module error;OFF
13/06/2022 09:52:11;Sensor #7 Low Supercapacitor voltage;OFF
13/06/2022 09:52:11;Sensor #7 module error;OFF
13/06/2022 09:52:11;Sensor #6 Low Supercapacitor voltage;OFF
13/06/2022 09:52:11;Sensor #6 module error;OFF
13/06/2022 09:52:11;Sensor #5 Low Supercapacitor voltage;OFF
13/06/2022 09:52:11;Sensor #5 module error;OFF
13/06/2022 09:52:11;Sensor #4 Low Supercapacitor voltage;OFF
13/06/2022 09:52:11;Sensor #4 module error;OFF
13/06/2022 09:52:11;Sensor #3 Low Supercapacitor voltage;OFF
13/06/2022 09:52:11;Sensor #3 module error;OFF
13/06/2022 09:52:11;Sensor #2 Low Supercapacitor voltage;OFF
13/06/2022 09:52:11;Sensor #2 module error;OFF
13/06/2022 09:52:11;Sensor #1 Low Supercapacitor voltage;OFF
13/06/2022 09:52:11;Sensor #1 module error;OFF
13/06/2022 09:51:06;Last sensor or Gateway Communication error;OFF
13/06/2022 09:50:06;Sensor #46 module error;ON
13/06/2022 09:50:06;Sensor #46 Low Supercapacitor voltage;ON
13/06/2022 09:50:06;Sensor #45 module error;ON
13/06/2022 09:50:05;Sensor #45 Low Supercapacitor voltage;ON
13/06/2022 09:50:05;Sensor #44 module error;ON
13/06/2022 09:50:05;Sensor #44 Low Supercapacitor voltage;ON
13/06/2022 09:50:05;Sensor #43 module error;ON
13/06/2022 09:50:05;Sensor #43 Low Supercapacitor voltage;ON
13/06/2022 09:50:05;Sensor #42 module error;ON
13/06/2022 09:50:05;Sensor #42 Low Supercapacitor voltage;ON
13/06/2022 09:50:05;Sensor #41 module error;ON
13/06/2022 09:50:05;Sensor #41 Low Supercapacitor voltage;ON
13/06/2022 09:50:05;Sensor #40 module error;ON
13/06/2022 09:50:05;Sensor #40 Low Supercapacitor voltage;ON
13/06/2022 09:50:05;Sensor #39 module error;ON
13/06/2022 09:50:05;Sensor #39 Low Supercapacitor voltage;ON
13/06/2022 09:50:05;Sensor #38 module error;ON
13/06/2022 09:50:05;Sensor #38 Low Supercapacitor voltage;ON
13/06/2022 09:50:05;Sensor #37 module error;ON
13/06/2022 09:50:05;Sensor #37 Low Supercapacitor voltage;ON
13/06/2022 09:50:05;Sensor #36 module error;ON
13/06/2022 09:50:05;Sensor #36 Low Supercapacitor voltage;ON
13/06/2022 09:50:05;Sensor #35 module error;ON
13/06/2022 09:50:04;Sensor #35 Low Supercapacitor voltage;ON
13/06/2022 09:50:04;Sensor #34 module error;ON
13/06/2022 09:50:04;Sensor #34 Low Supercapacitor voltage;ON
13/06/2022 09:50:04;Sensor #33 module error;ON
13/06/2022 09:50:04;Sensor #33 Low Supercapacitor voltage;ON
13/06/2022 09:50:04;Sensor #32 module error;ON
13/06/2022 09:50:04;Sensor #32 Low Supercapacitor voltage;ON
13/06/2022 09:50:04;Sensor #31 module error;ON
13/06/2022 09:50:04;Sensor #31 Low Supercapacitor voltage;ON
13/06/2022 09:50:04;Sensor #30 module error;ON
13/06/2022 09:50:04;Sensor #30 Low Supercapacitor voltage;ON
13/06/2022 09:50:04;Sensor #29 module error;ON
13/06/2022 09:50:04;Sensor #29 Low Supercapacitor voltage;ON
13/06/2022 09:50:04;Sensor #28 module error;ON
13/06/2022 09:50:04;Sensor #28 Low Supercapacitor voltage;ON
13/06/2022 09:50:04;Sensor #27 module error;ON
13/06/2022 09:50:04;Sensor #27 Low Supercapacitor voltage;ON
13/06/2022 09:50:04;Sensor #26 module error;ON
13/06/2022 09:50:04;Sensor #26 Low Supercapacitor voltage;ON
13/06/2022 09:50:04;Sensor #25 module error;ON
13/06/2022 09:50:03;Sensor #25 Low Supercapacitor voltage;ON
13/06/2022 09:50:03;Sensor #24 module error;ON
13/06/2022 09:50:03;Sensor #24 Low Supercapacitor voltage;ON
13/06/2022 09:50:03;Sensor #23 module error;ON
13/06/2022 09:50:03;Sensor #23 Low Supercapacitor voltage;ON
13/06/2022 09:50:03;Sensor #22 module error;ON
13/06/2022 09:50:03;Sensor #22 Low Supercapacitor voltage;ON
13/06/2022 09:50:03;Sensor #21 module error;ON
13/06/2022 09:50:03;Sensor #21 Low Supercapacitor voltage;ON
13/06/2022 09:50:03;Sensor #20 module error;ON
13/06/2022 09:50:03;Sensor #20 Low Supercapacitor voltage;ON
13/06/2022 09:50:03;Sensor #19 module error;ON
13/06/2022 09:50:03;Sensor #19 Low Supercapacitor voltage;ON
13/06/2022 09:50:03;Sensor #18 module error;ON
13/06/2022 09:50:03;Sensor #18 Low Supercapacitor voltage;ON
13/06/2022 09:50:03;Sensor #17 module error;ON
13/06/2022 09:50:03;Sensor #17 Low Supercapacitor voltage;ON
13/06/2022 09:50:03;Sensor #16 module error;ON
13/06/2022 09:50:03;Sensor #16 Low Supercapacitor voltage;ON
13/06/2022 09:50:03;Sensor #15 module error;ON
13/06/2022 09:50:02;Sensor #15 Low Supercapacitor voltage;ON
13/06/2022 09:50:02;Sensor #14 module error;ON
13/06/2022 09:50:02;Sensor #14 Low Supercapacitor voltage;ON
13/06/2022 09:50:02;Sensor #13 module error;ON
13/06/2022 09:50:02;Sensor #13 Low Supercapacitor voltage;ON
13/06/2022 09:50:02;Sensor #12 module error;ON
13/06/2022 09:50:02;Sensor #12 Low Supercapacitor voltage;ON
13/06/2022 09:50:02;Sensor #11 module error;ON
13/06/2022 09:50:02;Sensor #11 Low Supercapacitor voltage;ON
13/06/2022 09:50:02;Sensor #10 module error;ON
13/06/2022 09:50:02;Sensor #10 Low Supercapacitor voltage;ON
13/06/2022 09:50:02;Sensor #9 module error;ON
13/06/2022 09:50:02;Sensor #9 Low Supercapacitor voltage;ON
13/06/2022 09:50:02;Sensor #8 module error;ON
13/06/2022 09:50:02;Sensor #8 Low Supercapacitor voltage;ON
13/06/2022 09:50:02;Sensor #7 module error;ON
13/06/2022 09:50:02;Sensor #7 Low Supercapacitor voltage;ON
13/06/2022 09:50:02;Sensor #6 module error;ON
13/06/2022 09:50:02;Sensor #6 Low Supercapacitor voltage;ON
13/06/2022 09:50:01;Sensor #5 module error;ON
13/06/2022 09:50:01;Sensor #5 Low Supercapacitor voltage;ON
13/06/2022 09:50:01;Sensor #4 module error;ON
13/06/2022 09:50:01;Sensor #4 Low Supercapacitor voltage;ON
13/06/2022 09:50:01;Sensor #3 module error;ON
13/06/2022 09:50:01;Sensor #3 Low Supercapacitor voltage;ON
13/06/2022 09:50:01;Sensor #2 module error;ON
13/06/2022 09:50:01;Sensor #2 Low Supercapacitor voltage;ON
13/06/2022 09:50:01;Sensor #1 module error;ON
13/06/2022 09:50:01;Sensor #1 Low Supercapacitor voltage;ON
13/06/2022 09:49:53;Last sensor or Gateway Communication error;ON
13/06/2022 09:47:10;Sensor #39 Low Supercapacitor voltage;OFF
13/06/2022 09:46:42;Sensor #39 Low Supercapacitor voltage;ON
13/06/2022 09:46:42;Sensor #38 Low Supercapacitor voltage;OFF
13/06/2022 09:46:42;Sensor #38 module error;OFF
13/06/2022 09:46:42;Sensor #37 Low Supercapacitor voltage;OFF
13/06/2022 09:46:42;Sensor #37 module error;OFF
13/06/2022 09:46:41;Sensor #36 Low Supercapacitor voltage;OFF
13/06/2022 09:46:41;Sensor #36 module error;OFF
13/06/2022 09:46:41;Sensor #35 Low Supercapacitor voltage;OFF
13/06/2022 09:46:41;Sensor #35 module error;OFF
13/06/2022 09:46:41;Sensor #34 Low Supercapacitor voltage;OFF
13/06/2022 09:46:41;Sensor #34 module error;OFF
13/06/2022 09:46:41;Sensor #33 Low Supercapacitor voltage;OFF
13/06/2022 09:46:41;Sensor #33 module error;OFF
13/06/2022 09:46:41;Sensor #32 Low Supercapacitor voltage;OFF
13/06/2022 09:46:41;Sensor #32 module error;OFF
13/06/2022 09:46:41;Sensor #31 Low Supercapacitor voltage;OFF
13/06/2022 09:46:41;Sensor #31 module error;OFF
13/06/2022 09:46:41;Sensor #30 Low Supercapacitor voltage;OFF
13/06/2022 09:46:41;Sensor #30 module error;OFF
13/06/2022 09:46:40;Sensor #29 Low Supercapacitor voltage;OFF
13/06/2022 09:46:40;Sensor #29 module error;OFF
13/06/2022 09:46:40;Sensor #28 Low Supercapacitor voltage;OFF
13/06/2022 09:46:40;Sensor #28 module error;OFF
13/06/2022 09:46:40;Sensor #27 Low Supercapacitor voltage;OFF
13/06/2022 09:46:40;Sensor #27 module error;OFF
13/06/2022 09:46:40;Sensor #26 Low Supercapacitor voltage;OFF
13/06/2022 09:46:40;Sensor #26 module error;OFF
13/06/2022 09:46:40;Sensor #25 Low Supercapacitor voltage;OFF
13/06/2022 09:46:40;Sensor #25 module error;OFF
13/06/2022 09:46:40;Sensor #24 Low Supercapacitor voltage;OFF
13/06/2022 09:46:40;Sensor #24 module error;OFF
13/06/2022 09:46:40;Sensor #23 Low Supercapacitor voltage;OFF
13/06/2022 09:46:40;Sensor #23 module error;OFF
13/06/2022 09:46:39;Sensor #22 Low Supercapacitor voltage;OFF
13/06/2022 09:46:39;Sensor #22 module error;OFF
13/06/2022 09:46:39;Sensor #21 Low Supercapacitor voltage;OFF
13/06/2022 09:46:39;Sensor #21 module error;OFF
13/06/2022 09:46:39;Sensor #20 Low Supercapacitor voltage;OFF
13/06/2022 09:46:39;Sensor #20 module error;OFF
13/06/2022 09:46:39;Sensor #19 Low Supercapacitor voltage;OFF
13/06/2022 09:46:39;Sensor #19 module error;OFF
13/06/2022 09:46:39;Sensor #18 Low Supercapacitor voltage;OFF
13/06/2022 09:46:39;Sensor #18 module error;OFF
13/06/2022 09:46:39;Sensor #17 Low Supercapacitor voltage;OFF
13/06/2022 09:46:39;Sensor #17 module error;OFF
13/06/2022 09:46:39;Sensor #16 Low Supercapacitor voltage;OFF
13/06/2022 09:46:39;Sensor #16 module error;OFF
13/06/2022 09:46:38;Sensor #15 Low Supercapacitor voltage;OFF
13/06/2022 09:46:38;Sensor #15 module error;OFF
13/06/2022 09:46:38;Sensor #14 Low Supercapacitor voltage;OFF
13/06/2022 09:46:38;Sensor #14 module error;OFF
13/06/2022 09:46:38;Sensor #13 Low Supercapacitor voltage;OFF
13/06/2022 09:46:38;Sensor #13 module error;OFF
13/06/2022 09:46:38;Sensor #12 Low Supercapacitor voltage;OFF
13/06/2022 09:46:38;Sensor #12 module error;OFF
13/06/2022 09:46:38;Sensor #11 Low Supercapacitor voltage;OFF
13/06/2022 09:46:38;Sensor #11 module error;OFF
13/06/2022 09:46:38;Sensor #10 Low Supercapacitor voltage;OFF
13/06/2022 09:46:38;Sensor #10 module error;OFF
13/06/2022 09:46:37;Sensor #9 Low Supercapacitor voltage;OFF
13/06/2022 09:46:37;Sensor #9 module error;OFF
13/06/2022 09:46:37;Sensor #8 Low Supercapacitor voltage;OFF
13/06/2022 09:46:37;Sensor #8 module error;OFF
13/06/2022 09:46:37;Sensor #7 Low Supercapacitor voltage;OFF
13/06/2022 09:46:37;Sensor #7 module error;OFF
13/06/2022 09:46:37;Sensor #6 Low Supercapacitor voltage;OFF
13/06/2022 09:46:37;Sensor #6 module error;OFF
13/06/2022 09:46:37;Sensor #5 Low Supercapacitor voltage;OFF
13/06/2022 09:46:37;Sensor #5 module error;OFF
13/06/2022 09:46:37;Sensor #4 Low Supercapacitor voltage;OFF
13/06/2022 09:46:37;Sensor #4 module error;OFF
13/06/2022 09:46:36;Sensor #3 Low Supercapacitor voltage;OFF
13/06/2022 09:46:36;Sensor #3 module error;OFF
13/06/2022 09:46:36;Sensor #2 Low Supercapacitor voltage;OFF
13/06/2022 09:46:36;Sensor #2 module error;OFF
13/06/2022 09:46:36;Sensor #1 Low Supercapacitor voltage;OFF
13/06/2022 09:46:36;Sensor #1 module error;OFF
13/06/2022 09:41:23;Last sensor or Gateway Communication error;OFF
13/06/2022 09:40:23;Sensor #38 module error;ON
13/06/2022 09:40:23;Sensor #38 Low Supercapacitor voltage;ON
13/06/2022 09:40:23;Sensor #37 module error;ON
13/06/2022 09:40:23;Sensor #37 Low Supercapacitor voltage;ON
13/06/2022 09:40:22;Sensor #36 module error;ON
13/06/2022 09:40:22;Sensor #36 Low Supercapacitor voltage;ON
13/06/2022 09:40:22;Sensor #35 module error;ON
13/06/2022 09:40:22;Sensor #35 Low Supercapacitor voltage;ON
13/06/2022 09:40:22;Sensor #34 module error;ON
13/06/2022 09:40:22;Sensor #34 Low Supercapacitor voltage;ON
13/06/2022 09:40:22;Sensor #33 module error;ON
13/06/2022 09:40:22;Sensor #33 Low Supercapacitor voltage;ON
13/06/2022 09:40:22;Sensor #32 module error;ON
13/06/2022 09:40:22;Sensor #32 Low Supercapacitor voltage;ON
13/06/2022 09:40:22;Sensor #31 module error;ON
13/06/2022 09:40:22;Sensor #31 Low Supercapacitor voltage;ON
13/06/2022 09:40:22;Sensor #30 module error;ON
13/06/2022 09:40:22;Sensor #30 Low Supercapacitor voltage;ON
13/06/2022 09:40:22;Sensor #29 module error;ON
13/06/2022 09:40:22;Sensor #29 Low Supercapacitor voltage;ON
13/06/2022 09:40:22;Sensor #28 module error;ON
13/06/2022 09:40:22;Sensor #28 Low Supercapacitor voltage;ON
13/06/2022 09:40:22;Sensor #27 module error;ON
13/06/2022 09:40:22;Sensor #27 Low Supercapacitor voltage;ON
13/06/2022 09:40:22;Sensor #26 module error;ON
13/06/2022 09:40:22;Sensor #26 Low Supercapacitor voltage;ON
13/06/2022 09:40:21;Sensor #25 module error;ON
13/06/2022 09:40:21;Sensor #25 Low Supercapacitor voltage;ON
13/06/2022 09:40:21;Sensor #24 module error;ON
13/06/2022 09:40:21;Sensor #24 Low Supercapacitor voltage;ON
13/06/2022 09:40:21;Sensor #23 module error;ON
13/06/2022 09:40:21;Sensor #23 Low Supercapacitor voltage;ON
13/06/2022 09:40:21;Sensor #22 module error;ON
13/06/2022 09:40:21;Sensor #22 Low Supercapacitor voltage;ON
13/06/2022 09:40:21;Sensor #21 module error;ON
13/06/2022 09:40:21;Sensor #21 Low Supercapacitor voltage;ON
13/06/2022 09:40:21;Sensor #20 module error;ON
13/06/2022 09:40:21;Sensor #20 Low Supercapacitor voltage;ON
13/06/2022 09:40:21;Sensor #19 module error;ON
13/06/2022 09:40:21;Sensor #19 Low Supercapacitor voltage;ON
13/06/2022 09:40:21;Sensor #18 module error;ON
13/06/2022 09:40:21;Sensor #18 Low Supercapacitor voltage;ON
13/06/2022 09:40:21;Sensor #17 module error;ON
13/06/2022 09:40:21;Sensor #17 Low Supercapacitor voltage;ON
13/06/2022 09:40:21;Sensor #16 module error;ON
13/06/2022 09:40:21;Sensor #16 Low Supercapacitor voltage;ON
13/06/2022 09:40:20;Sensor #15 module error;ON
13/06/2022 09:40:20;Sensor #15 Low Supercapacitor voltage;ON
13/06/2022 09:40:20;Sensor #14 module error;ON
13/06/2022 09:40:20;Sensor #14 Low Supercapacitor voltage;ON
13/06/2022 09:40:20;Sensor #13 module error;ON
13/06/2022 09:40:20;Sensor #13 Low Supercapacitor voltage;ON
13/06/2022 09:40:20;Sensor #12 module error;ON
13/06/2022 09:40:20;Sensor #12 Low Supercapacitor voltage;ON
13/06/2022 09:40:20;Sensor #11 module error;ON
13/06/2022 09:40:20;Sensor #11 Low Supercapacitor voltage;ON
13/06/2022 09:40:20;Sensor #10 module error;ON
13/06/2022 09:40:20;Sensor #10 Low Supercapacitor voltage;ON
13/06/2022 09:40:20;Sensor #9 module error;ON
13/06/2022 09:40:20;Sensor #9 Low Supercapacitor voltage;ON
13/06/2022 09:40:20;Sensor #8 module error;ON
13/06/2022 09:40:20;Sensor #8 Low Supercapacitor voltage;ON
13/06/2022 09:40:20;Sensor #7 module error;ON
13/06/2022 09:40:20;Sensor #7 Low Supercapacitor voltage;ON
13/06/2022 09:40:20;Sensor #6 module error;ON
13/06/2022 09:40:20;Sensor #6 Low Supercapacitor voltage;ON
13/06/2022 09:40:19;Sensor #5 module error;ON
13/06/2022 09:40:19;Sensor #5 Low Supercapacitor voltage;ON
13/06/2022 09:40:19;Sensor #4 module error;ON
13/06/2022 09:40:19;Sensor #4 Low Supercapacitor voltage;ON
13/06/2022 09:40:19;Sensor #3 module error;ON
13/06/2022 09:40:19;Sensor #3 Low Supercapacitor voltage;ON
13/06/2022 09:40:19;Sensor #2 module error;ON
13/06/2022 09:40:19;Sensor #2 Low Supercapacitor voltage;ON
13/06/2022 09:40:19;Sensor #1 module error;ON
13/06/2022 09:40:19;Sensor #1 Low Supercapacitor voltage;ON
13/06/2022 09:40:14;Last sensor or Gateway Communication error;ON
13/06/2022 09:37:31;Sensor #27 Low Supercapacitor voltage;OFF
13/06/2022 09:37:00;Sensor #27 Low Supercapacitor voltage;ON
