Date and time;S.1 Cap Volt;S.1 Val1;S.1 Val2;S.1 Val3;S.2 Cap Volt;S.2 Val1;S.2 Val2;S.2 Val3;S.3 Cap Volt;S.3 Val1;S.3 Val2;S.3 Val3;S.4 Cap Volt;S.4 Val1;S.4 Val2;S.4 Val3
31/05/2022 00:02:43;1500;0;0;0;1500;0;0;0;1500;0;0;0;2625;0;0;0
31/05/2022 00:02:45;1500;0;0;0;1500;0;0;0;1500;0;0;0;2625;0;0;0
31/05/2022 00:02:50;1500;0;0;0;1500;0;0;0;1500;0;0;0;2625;0;0;0
31/05/2022 00:05:09;2625;0;0;0;2550;0;0;0;2600;0;0;0;2600;0;0;0
31/05/2022 00:06:37;2600;0;0;0;2550;0;0;0;2600;0;0;0;2550;0;0;0
31/05/2022 00:08:06;2600;0;0;0;2525;0;0;0;2600;0;0;0;2550;0;0;0
31/05/2022 00:09:35;2600;0;0;0;2525;0;0;0;2600;0;0;0;2550;0;0;0
31/05/2022 00:11:04;2600;0;0;0;2525;0;0;0;2600;0;0;0;2550;0;0;0
31/05/2022 00:12:33;2600;0;0;0;2525;0;0;0;2600;0;0;0;2550;0;0;0
31/05/2022 00:14:02;2600;0;0;0;2525;0;0;0;2600;0;0;0;2550;0;0;0
31/05/2022 00:15:31;2600;0;0;0;2525;0;0;0;2600;0;0;0;2550;0;0;0
31/05/2022 00:17:00;2600;0;0;0;2525;0;0;0;2600;0;0;0;2550;0;0;0
31/05/2022 00:18:29;2600;0;0;0;2525;0;0;0;2600;0;0;0;2525;0;0;0
31/05/2022 00:19:58;2600;0;0;0;2525;0;0;0;2600;0;0;0;2525;0;0;0
31/05/2022 00:21:27;2600;0;0;0;2500;0;0;0;2600;0;0;0;2525;0;0;0
31/05/2022 00:22:56;2600;0;0;0;2500;0;0;0;2600;0;0;0;2525;0;0;0
31/05/2022 00:24:25;2600;0;0;0;2500;0;0;0;2575;0;0;0;2525;0;0;0
31/05/2022 00:25:54;2600;0;0;0;2500;0;0;0;2575;0;0;0;2525;0;0;0
31/05/2022 00:27:23;2600;0;0;0;2500;0;0;0;2575;0;0;0;2525;0;0;0
31/05/2022 00:28:52;2600;0;0;0;2500;0;0;0;2575;0;0;0;2525;0;0;0
31/05/2022 00:30:21;2600;0;0;0;2500;0;0;0;2575;0;0;0;2525;0;0;0
31/05/2022 00:31:50;2600;0;0;0;2500;0;0;0;2575;0;0;0;2500;0;0;0
31/05/2022 00:33:19;2600;0;0;0;2475;0;0;0;2575;0;0;0;2500;0;0;0
31/05/2022 00:34:48;2600;0;0;0;2475;0;0;0;2575;0;0;0;2500;0;0;0
31/05/2022 00:36:17;2600;0;0;0;2475;0;0;0;2575;0;0;0;2500;0;0;0
31/05/2022 00:37:46;2600;0;0;0;2475;0;0;0;2575;0;0;0;2500;0;0;0
31/05/2022 00:39:15;2600;0;0;0;2475;0;0;0;2575;0;0;0;2500;0;0;0
31/05/2022 00:40:44;2600;0;0;0;2475;0;0;0;2575;0;0;0;2500;0;0;0
31/05/2022 00:42:13;2575;0;0;0;2475;0;0;0;2575;0;0;0;2500;0;0;0
31/05/2022 00:43:42;2575;0;0;0;2475;0;0;0;2575;0;0;0;2500;0;0;0
31/05/2022 00:45:11;2575;0;0;0;2450;0;0;0;2575;0;0;0;2500;0;0;0
31/05/2022 00:46:40;2575;0;0;0;2450;0;0;0;2575;0;0;0;2475;0;0;0
31/05/2022 00:48:09;2575;0;0;0;2450;0;0;0;2575;0;0;0;2475;0;0;0
31/05/2022 00:49:38;2575;0;0;0;2450;0;0;0;2550;0;0;0;2475;0;0;0
31/05/2022 00:51:07;2575;0;0;0;2450;0;0;0;2550;0;0;0;2475;0;0;0
31/05/2022 00:52:36;2575;0;0;0;2450;0;0;0;2550;0;0;0;2475;0;0;0
31/05/2022 00:54:05;2575;0;0;0;2450;0;0;0;2550;0;0;0;2475;0;0;0
31/05/2022 00:55:34;2575;0;0;0;2450;0;0;0;2550;0;0;0;2475;0;0;0
31/05/2022 00:57:03;2575;0;0;0;2425;0;0;0;2550;0;0;0;2475;0;0;0
31/05/2022 00:58:32;2575;0;0;0;2425;0;0;0;2550;0;0;0;2450;0;0;0
31/05/2022 01:00:01;2575;0;0;0;2425;0;0;0;2550;0;0;0;2450;0;0;0
31/05/2022 01:01:30;2575;0;0;0;2425;0;0;0;2550;0;0;0;2450;0;0;0
31/05/2022 01:02:59;2575;0;0;0;2425;0;0;0;2550;0;0;0;2450;0;0;0
31/05/2022 01:04:28;2575;0;0;0;2425;0;0;0;2550;0;0;0;2450;0;0;0
31/05/2022 01:05:57;2575;0;0;0;2425;0;0;0;2550;0;0;0;2450;0;0;0
31/05/2022 01:07:26;2575;0;0;0;2425;0;0;0;2550;0;0;0;2450;0;0;0
31/05/2022 01:08:55;2575;0;0;0;2400;0;0;0;2550;0;0;0;2450;0;0;0
31/05/2022 01:10:24;2575;0;0;0;2400;0;0;0;2550;0;0;0;2425;0;0;0
31/05/2022 01:11:53;2575;0;0;0;2400;0;0;0;2550;0;0;0;2425;0;0;0
31/05/2022 01:13:22;2550;0;0;0;2400;0;0;0;2525;0;0;0;2425;0;0;0
31/05/2022 01:14:51;2550;0;0;0;2400;0;0;0;2525;0;0;0;2425;0;0;0
31/05/2022 01:16:20;2550;0;0;0;2400;0;0;0;2525;0;0;0;2425;0;0;0
31/05/2022 01:17:49;2550;0;0;0;2400;0;0;0;2525;0;0;0;2425;0;0;0
31/05/2022 01:19:18;2550;0;0;0;2400;0;0;0;2525;0;0;0;2425;0;0;0
31/05/2022 01:20:47;2550;0;0;0;2375;0;0;0;2525;0;0;0;2425;0;0;0
31/05/2022 01:22:16;2550;0;0;0;2375;0;0;0;2525;0;0;0;2400;0;0;0
31/05/2022 01:23:45;2550;0;0;0;2375;0;0;0;2525;0;0;0;2400;0;0;0
