Date and time;S.1 Cap Volt;S.1 Val1;S.1 Val2;S.1 Val3;S.2 Cap Volt;S.2 Val1;S.2 Val2;S.2 Val3;S.3 Cap Volt;S.3 Val1;S.3 Val2;S.3 Val3;S.4 Cap Volt;S.4 Val1;S.4 Val2;S.4 Val3
08/05/2022 14:43:35;2500;22,5;0;0;2650;28;0;0;2650;23;55;false;2625;50;0;0
08/05/2022 14:44:05;2500;22,5;0;0;2650;11;0;0;2650;23;55;false;2625;0;0;0
08/05/2022 14:44:35;2500;22,5;0;0;2650;23;0;0;2650;23;56;TRUE;2625;214;0;0
08/05/2022 14:45:05;2500;22,5;0;0;2650;26;0;0;2650;23;55;false;2625;30;0;0
08/05/2022 14:45:34;2500;22,5;0;0;2650;0;0;0;2650;23;56;TRUE;2625;41;0;0
08/05/2022 14:46:04;2500;22,5;0;0;2650;0;0;0;2650;23;56;TRUE;2625;220;0;0
08/05/2022 14:46:34;2500;22,5;0;0;2650;0;0;0;2650;23;56;TRUE;2625;219;0;0
08/05/2022 14:47:04;2500;22,5;0;0;2650;0;0;0;2650;23;56;TRUE;2625;222;0;0
08/05/2022 14:47:34;2500;22,5;0;0;2650;0;0;0;2650;23;56;TRUE;2625;220;0;0
08/05/2022 14:48:04;2500;22,5;0;0;2650;0;0;0;2650;23;56;TRUE;2625;65;0;0
08/05/2022 14:48:34;2500;22,5;0;0;2650;0;0;0;2650;23;56;TRUE;2625;222;0;0
08/05/2022 14:49:04;2500;22,5;0;0;2650;0;0;0;2650;23;56;TRUE;2625;21;0;0
08/05/2022 14:49:34;2500;22,5;0;0;2650;0;0;0;2650;23;56;TRUE;2625;77;0;0
08/05/2022 14:50:04;2500;22,5;0;0;2650;0;0;0;2650;23;56;TRUE;2625;169;0;0
08/05/2022 14:50:34;2500;22,5;0;0;2650;0;0;0;2650;23;56;TRUE;2625;168;0;0
08/05/2022 15:02:03;2500;23;0;0;2650;0;0;0;2650;23;57;false;2625;169;0;0
08/05/2022 15:02:33;2500;23;0;0;2650;0;0;0;2650;23;57;false;2625;169;0;0
08/05/2022 15:03:03;2500;23;0;0;2650;0;0;0;2650;23;57;TRUE;2625;171;0;0
08/05/2022 15:03:33;2500;23;0;0;2650;0;0;0;2650;23;57;TRUE;2625;169;0;0
08/05/2022 15:04:03;2500;23;0;0;2650;0;0;0;2650;23;57;TRUE;2625;170;0;0
08/05/2022 15:04:33;2500;23;0;0;2650;0;0;0;2650;23;57;TRUE;2625;84;0;0
08/05/2022 15:05:03;2500;23;0;0;2650;0;0;0;2650;23;57;TRUE;2625;169;0;0
