Date and time;S.1 Cap Volt;S.1 Val1;S.1 Val2;S.1 Val3;S.2 Cap Volt;S.2 Val1;S.2 Val2;S.2 Val3;S.3 Cap Volt;S.3 Val1;S.3 Val2;S.3 Val3;S.4 Cap Volt;S.4 Val1;S.4 Val2;S.4 Val3
23/04/2022 17:41:07;2500;21,5;0;0;2650;77;0;0;2500;23;52;false;2625;57;0;0
23/04/2022 17:41:37;2500;21,5;0;0;2650;79;0;0;2500;23;52;false;2600;172;0;0
23/04/2022 17:42:07;2500;21,5;0;0;2650;79;0;0;2500;23;52;false;2625;60;0;0
23/04/2022 17:42:37;2500;21,5;0;0;2650;78;0;0;2500;23;52;TRUE;2625;60;0;0
23/04/2022 17:43:07;2500;21,5;0;0;2650;78;0;0;2500;23;52;false;2625;70;0;0
23/04/2022 17:44:51;1700;25;0;0;2650;79;0;0;2500;23;52;false;2625;60;0;0
23/04/2022 17:45:57;2500;21,5;0;0;2650;80;0;0;2500;23;53;false;2625;134;0;0
23/04/2022 17:46:27;2500;21,5;0;0;2650;80;0;0;2500;23;53;false;2625;59;0;0
23/04/2022 17:46:57;2500;21,5;0;0;2650;81;0;0;2500;23;52;false;2625;60;0;0
23/04/2022 17:47:27;2500;21,5;0;0;2650;80;0;0;2500;23;52;false;2625;75;0;0
23/04/2022 17:47:57;2500;21,5;0;0;2650;81;0;0;2500;23;52;false;2625;162;0;0
23/04/2022 17:48:27;2500;21,5;0;0;2650;81;0;0;2500;23;54;false;2600;161;0;0
23/04/2022 17:48:57;2500;21,5;0;0;2650;80;0;0;2500;23;53;false;2600;162;0;0
23/04/2022 17:49:26;2500;21,5;0;0;2650;81;0;0;2500;23;53;false;2600;162;0;0
23/04/2022 17:49:56;2500;21,5;0;0;2650;80;0;0;2500;23;53;false;2600;161;0;0
23/04/2022 17:50:26;2500;21,5;0;0;2650;82;0;0;2500;23;54;false;2600;69;0;0
23/04/2022 17:50:56;2500;21,5;0;0;2650;82;0;0;2500;23;53;false;2600;59;0;0
23/04/2022 17:51:26;2500;21,5;0;0;2650;82;0;0;2500;23;53;false;2600;34;0;0
23/04/2022 17:51:56;2500;21,5;0;0;2650;81;0;0;2500;23;53;false;2600;34;0;0
23/04/2022 17:52:26;2500;21,5;0;0;2650;82;0;0;2500;23;53;false;2600;219;0;0
23/04/2022 17:52:56;2500;21,5;0;0;2650;82;0;0;2500;23;53;false;2600;22;0;0
23/04/2022 17:53:26;2500;21,5;0;0;2650;82;0;0;2500;23;53;false;2600;90;0;0
23/04/2022 17:53:56;2500;21,5;0;0;2650;82;0;0;2500;23;54;false;2600;173;0;0
23/04/2022 17:54:26;2500;21,5;0;0;2650;82;0;0;2500;23;54;false;2600;162;0;0
23/04/2022 17:54:56;2500;21,5;0;0;2650;82;0;0;2500;23;54;false;2600;161;0;0
23/04/2022 17:55:26;2500;21,5;0;0;2650;81;0;0;2500;23;54;false;2600;171;0;0
23/04/2022 17:55:56;2500;21,5;0;0;2650;83;0;0;2500;23;54;false;2600;173;0;0
23/04/2022 17:56:26;2500;21,5;0;0;2650;82;0;0;2500;23;54;false;2600;171;0;0
23/04/2022 17:56:56;2500;21,5;0;0;2650;82;0;0;2500;22;54;false;2600;75;0;0
23/04/2022 17:57:26;2500;21,5;0;0;2650;82;0;0;2500;22;54;false;2600;171;0;0
23/04/2022 17:57:56;2500;21,5;0;0;2650;82;0;0;2500;22;54;false;2600;173;0;0
23/04/2022 17:58:26;2500;21,5;0;0;2650;82;0;0;2500;22;54;false;2600;172;0;0
