Date and time;S.1 Cap Volt;S.1 Val1;S.1 Val2;S.1 Val3;S.2 Cap Volt;S.2 Val1;S.2 Val2;S.2 Val3;S.3 Cap Volt;S.3 Val1;S.3 Val2;S.3 Val3;S.4 Cap Volt;S.4 Val1;S.4 Val2;S.4 Val3
18/06/2022 18:31:46;2375;998;230;TRUE;2350;30;0;0;2400;0;0;0;2600;85;0;0
18/06/2022 18:32:17;2375;998;230;TRUE;2325;30;0;0;2375;0;0;0;2575;85;0;0
18/06/2022 18:32:47;2375;998;230;TRUE;2325;30;0;0;2375;0;0;0;2575;85;0;0
18/06/2022 18:33:18;2375;998;230;TRUE;2325;30;0;0;2375;0;0;0;2575;85;0;0
18/06/2022 18:33:49;2375;998;230;TRUE;2325;30;0;0;2375;0;0;0;2575;85;0;0
18/06/2022 18:34:19;2350;998;230;TRUE;2325;30;0;0;2375;0;0;0;2575;85;0;0
18/06/2022 18:34:50;2375;998;230;TRUE;2325;31;0;0;2375;0;0;0;2575;85;0;0
18/06/2022 18:35:51;2375;998;230;TRUE;2325;30;0;0;2375;0;0;0;2575;85;0;0
18/06/2022 18:36:22;2350;30;45;TRUE;2300;30;0;0;2350;0;0;0;2550;28,5;0;0
18/06/2022 18:36:53;2350;30;44;TRUE;2300;30;0;0;2350;0;0;0;2550;28,5;0;0
18/06/2022 18:37:23;2350;30;45;TRUE;2300;30;0;0;2350;0;0;0;2550;28,5;0;0
18/06/2022 18:37:54;2350;30;45;TRUE;2300;30;0;0;2350;0;0;0;2550;28,4;0;0
18/06/2022 18:38:24;2350;30;44;TRUE;2300;30;0;0;2350;100;0;0;2550;28,4;0;0
18/06/2022 18:38:55;2350;30;45;TRUE;2300;30;0;0;2350;100;0;0;2550;28,5;0;0
18/06/2022 18:39:25;2350;30;45;TRUE;2300;30;0;0;2350;100;0;0;2550;28,5;0;0
18/06/2022 18:39:56;2350;30;45;TRUE;2300;30;0;0;2350;100;0;0;2550;28,6;0;0
18/06/2022 18:40:26;2350;30;45;false;2300;30;0;0;2350;100;0;0;2550;28,6;0;0
18/06/2022 18:40:57;2350;30;45;TRUE;2300;30;0;0;2350;100;0;0;2550;28,6;0;0
18/06/2022 18:41:28;2350;30;45;TRUE;2300;30;0;0;2350;99;0;0;2550;28,6;0;0
18/06/2022 18:41:58;2350;30;45;TRUE;2300;30;0;0;2350;100;0;0;2550;28,6;0;0
18/06/2022 18:42:29;2350;30;45;TRUE;2300;30;0;0;2350;100;0;0;2550;28,7;0;0
18/06/2022 18:42:59;2350;30;45;TRUE;2300;30;0;0;2350;99;0;0;2550;28,7;0;0
18/06/2022 18:43:30;2350;30;45;TRUE;2300;30;0;0;2350;99;0;0;2550;28,7;0;0
18/06/2022 18:44:01;2350;30;45;TRUE;2300;30;0;0;2350;99;0;0;2550;28,6;0;0
18/06/2022 18:44:31;2350;30;45;TRUE;2300;30;0;0;2350;99;0;0;2550;28,6;0;0
18/06/2022 18:45:02;2350;30;45;TRUE;2300;30;0;0;2350;99;0;0;2550;28,6;0;0
18/06/2022 18:45:32;2350;30;45;TRUE;2300;30;0;0;2350;99;0;0;2550;28,5;0;0
18/06/2022 18:46:03;2350;30;45;TRUE;2300;30;0;0;2350;99;0;0;2550;28,6;0;0
18/06/2022 18:46:34;2350;30;45;TRUE;2300;30;0;0;2350;99;0;0;2550;28,6;0;0
18/06/2022 18:47:04;2350;30;45;TRUE;2300;30;0;0;2350;99;0;0;2550;28,7;0;0
18/06/2022 18:47:35;2350;30;45;TRUE;2300;30;0;0;2350;99;0;0;2550;28,7;0;0
18/06/2022 18:48:05;2350;30;45;TRUE;2325;30;0;0;2350;99;0;0;2550;28,8;0;0
18/06/2022 18:48:36;2350;30;45;TRUE;2325;30;0;0;2350;99;0;0;2550;28,8;0;0
18/06/2022 18:49:07;2350;30;45;TRUE;2325;30;0;0;2375;99;0;0;2550;28,9;0;0
18/06/2022 18:49:37;2350;30;46;TRUE;2325;30;0;0;2375;99;0;0;2550;28,9;0;0
18/06/2022 18:50:08;2350;30;45;TRUE;2325;30;0;0;2375;99;0;0;2550;28,9;0;0
18/06/2022 18:50:38;2350;30;45;TRUE;2325;30;0;0;2375;99;0;0;2550;29;0;0
18/06/2022 18:51:09;2375;30;45;TRUE;2325;30;0;0;2375;0;0;0;2550;29;0;0
18/06/2022 18:51:40;2375;30;45;TRUE;2325;30;0;0;2375;100;0;0;2550;29;0;0
18/06/2022 18:52:10;2375;30;45;TRUE;2325;30;0;0;2375;100;0;0;2550;29;0;0
18/06/2022 18:52:41;2375;30;45;TRUE;2325;30;0;0;2375;100;0;0;2550;29;0;0
18/06/2022 18:53:11;2375;30;46;TRUE;2325;30;0;0;2375;100;0;0;2550;29;0;0
18/06/2022 18:53:42;2375;30;47;TRUE;2325;30;0;0;2375;100;0;0;2550;29;0;0
18/06/2022 18:54:12;2375;31;46;false;2350;30;0;0;2375;100;0;0;2550;29;0;0
18/06/2022 18:54:43;2375;31;43;TRUE;2350;30;0;0;2400;100;0;0;2550;29;0;0
18/06/2022 18:55:14;2375;31;44;TRUE;2350;30;0;0;2400;100;0;0;2550;29;0;0
18/06/2022 18:55:44;2400;31;42;false;2350;30;0;0;2400;100;0;0;2550;29;0;0
18/06/2022 18:56:15;2400;31;43;false;2350;30;0;0;2400;100;0;0;2550;29;0;0
18/06/2022 18:56:46;2400;31;42;TRUE;2350;30;0;0;2400;100;0;0;2550;29;0;0
18/06/2022 18:57:16;2400;31;41;TRUE;2350;30;0;0;2425;100;0;0;2550;29;0;0
18/06/2022 18:57:47;2425;31;43;TRUE;2375;30;0;0;2425;100;0;0;2550;29;0;0
18/06/2022 18:58:17;2425;31;42;TRUE;2375;30;0;0;2425;100;0;0;2550;29;0;0
18/06/2022 18:58:48;2425;31;42;TRUE;2375;30;0;0;2450;100;0;0;2550;28,9;0;0
18/06/2022 18:59:18;2425;31;42;TRUE;2375;30;0;0;2450;100;0;0;2550;28,9;0;0
18/06/2022 18:59:49;2450;32;40;TRUE;2400;30;0;0;2450;100;0;0;2550;28,9;0;0
18/06/2022 19:00:20;2450;32;40;TRUE;2400;30;0;0;2450;100;0;0;2550;29;0;0
18/06/2022 19:00:50;2450;32;43;false;2400;30;0;0;2450;100;0;0;2550;29;0;0
18/06/2022 19:01:21;2450;32;40;false;2425;30;0;0;2475;100;0;0;2550;29;0;0
18/06/2022 19:01:51;2475;32;40;false;2425;30;0;0;2475;100;0;0;2550;29;0;0
18/06/2022 19:02:22;2475;32;44;false;2425;30;0;0;2475;100;0;0;2550;29;0;0
18/06/2022 19:02:53;2475;32;39;TRUE;2425;30;0;0;2475;100;0;0;2550;28,9;0;0
