Date and time;S.1 Cap Volt;S.1 Val1;S.1 Val2;S.1 Val3;S.2 Cap Volt;S.2 Val1;S.2 Val2;S.2 Val3;S.3 Cap Volt;S.3 Val1;S.3 Val2;S.3 Val3;S.4 Cap Volt;S.4 Val1;S.4 Val2;S.4 Val3
17/06/2022 09:42:56;2475;0;0;0;2575;0;0;0;2575;0;0;0;2650;0;0;0
17/06/2022 09:43:26;2475;0;0;0;2575;0;0;0;2550;0;0;0;2650;0;0;0
17/06/2022 09:43:56;2475;0;0;0;2575;0;0;0;2550;0;0;0;2650;0;0;0
17/06/2022 09:44:26;2475;0;0;0;2575;0;0;0;2550;0;0;0;2650;0;0;0
17/06/2022 09:45:29;2475;0;0;0;2575;0;0;0;2550;0;0;0;2650;0;0;0
17/06/2022 09:45:59;2475;0;0;0;2550;0;0;0;2550;0;0;0;2650;0;0;0
17/06/2022 09:46:30;2475;0;0;0;2550;0;0;0;2550;0;0;0;2650;0;0;0
17/06/2022 09:47:00;2475;0;0;0;2550;0;0;0;2550;0;0;0;2650;0;0;0
17/06/2022 09:47:31;2475;0;0;0;2550;0;0;0;2550;0;0;0;2650;0;0;0
17/06/2022 09:48:01;2475;0;0;0;2550;0;0;0;2550;0;0;0;2650;0;0;0
17/06/2022 09:48:32;2475;0;0;0;2550;0;0;0;2550;0;0;0;2650;0;0;0
17/06/2022 09:49:02;2475;0;0;0;2550;0;0;0;2550;0;0;0;2650;0;0;0
17/06/2022 09:49:33;2475;0;0;0;2550;0;0;0;2550;0;0;0;2650;0;0;0
17/06/2022 09:50:03;2475;0;0;0;2550;0;0;0;2550;0;0;0;2650;0;0;0
17/06/2022 09:50:34;2475;0;0;0;2550;0;0;0;2550;0;0;0;2650;0;0;0
17/06/2022 09:51:04;2475;0;0;0;2550;0;0;0;2550;0;0;0;2650;0;0;0
17/06/2022 09:51:35;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 09:52:05;2475;0;0;0;2550;0;0;0;2550;0;0;0;2650;0;0;0
17/06/2022 09:52:36;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 09:53:06;2475;0;0;0;2550;0;0;0;2550;0;0;0;2650;0;0;0
17/06/2022 09:53:37;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 09:54:38;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 09:55:09;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 09:55:39;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 09:56:09;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 09:56:40;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 09:57:10;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 09:57:41;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 09:58:11;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 09:58:42;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 09:59:12;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 09:59:43;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 10:00:13;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 10:00:44;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 10:01:14;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 10:01:45;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 10:02:15;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 10:02:46;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 10:03:16;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 10:03:47;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 10:04:17;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 10:04:48;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 10:05:18;2475;0;0;0;2550;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 10:35:52;2475;0;0;0;2525;0;0;0;2500;0;0;0;2650;0;0;0
17/06/2022 10:36:22;2475;0;0;0;2525;0;0;0;2500;0;0;0;2650;0;0;0
17/06/2022 10:36:53;2450;0;0;0;2525;0;0;0;2500;0;0;0;2650;0;0;0
17/06/2022 10:37:23;2475;0;0;0;2525;0;0;0;2500;0;0;0;2650;0;0;0
17/06/2022 10:37:54;2450;0;0;0;2525;0;0;0;2500;0;0;0;2650;0;0;0
17/06/2022 10:38:24;2475;0;0;0;2525;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 10:38:55;2450;0;0;0;2525;0;0;0;2525;0;0;0;2625;0;0;0
17/06/2022 10:39:25;2450;0;0;0;2525;0;0;0;2525;0;0;0;2625;0;0;0
17/06/2022 10:39:56;2450;0;0;0;2525;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 10:40:26;2450;0;0;0;2525;0;0;0;2525;0;0;0;2650;0;0;0
17/06/2022 10:40:57;2450;0;0;0;2525;0;0;0;2525;0;0;0;2625;0;0;0
17/06/2022 10:41:27;2450;0;0;0;2525;0;0;0;2550;0;0;0;2650;0;0;0
17/06/2022 10:41:58;2450;0;0;0;2525;0;0;0;2550;0;0;0;2650;0;0;0
17/06/2022 10:42:28;2450;0;0;0;2525;0;0;0;2550;0;0;0;2650;0;0;0
17/06/2022 10:42:59;2450;0;0;0;2525;0;0;0;2550;0;0;0;2650;0;0;0
17/06/2022 10:43:29;2475;0;0;0;2525;0;0;0;2550;0;0;0;2625;0;0;0
17/06/2022 10:44:00;2450;0;0;0;2525;0;0;0;2550;0;0;0;2650;0;0;0
17/06/2022 10:44:30;2450;0;0;0;2525;0;0;0;2575;0;0;0;2650;0;0;0
17/06/2022 10:45:01;2450;0;0;0;2525;0;0;0;2575;0;0;0;2650;0;0;0
17/06/2022 10:45:31;2450;0;0;0;2525;0;0;0;2575;0;0;0;2650;0;0;0
17/06/2022 10:46:02;2450;0;0;0;2525;0;0;0;2575;0;0;0;2650;0;0;0
17/06/2022 10:46:32;2450;0;0;0;2525;0;0;0;2575;0;0;0;2625;0;0;0
17/06/2022 10:47:03;2450;0;0;0;2525;0;0;0;2575;0;0;0;2625;0;0;0
17/06/2022 10:47:33;2450;0;0;0;2525;0;0;0;2600;0;0;0;2650;0;0;0
17/06/2022 10:48:04;2450;0;0;0;2525;0;0;0;2600;0;0;0;2650;0;0;0
17/06/2022 10:48:34;2450;0;0;0;2525;0;0;0;2600;0;0;0;2625;0;0;0
17/06/2022 10:49:05;2450;0;0;0;2525;0;0;0;2600;0;0;0;2650;0;0;0
17/06/2022 10:49:35;2450;0;0;0;2525;0;0;0;2600;0;0;0;2650;0;0;0
17/06/2022 10:50:06;2450;0;0;0;2525;0;0;0;2600;0;0;0;2650;0;0;0
17/06/2022 10:50:37;2450;0;0;0;2500;0;0;0;2600;0;0;0;2625;0;0;0
17/06/2022 10:51:07;2450;0;0;0;2525;0;0;0;2600;0;0;0;2625;0;0;0
17/06/2022 10:51:38;2450;0;0;0;2500;0;0;0;2600;0;0;0;2650;0;0;0
17/06/2022 10:52:08;2450;0;0;0;2525;0;0;0;2600;0;0;0;2625;0;0;0
17/06/2022 10:52:38;2450;0;0;0;2525;0;0;0;2600;0;0;0;2625;0;0;0
17/06/2022 10:53:09;2450;0;0;0;2525;0;0;0;2625;0;0;0;2625;0;0;0
17/06/2022 10:53:40;2450;0;0;0;2525;0;0;0;2625;0;0;0;2650;0;0;0
17/06/2022 10:54:10;2450;0;0;0;2525;0;0;0;2625;0;0;0;2625;0;0;0
17/06/2022 10:54:41;2450;0;0;0;2525;0;0;0;2625;0;0;0;2650;0;0;0
17/06/2022 10:55:11;2450;0;0;0;2525;0;0;0;2625;0;0;0;2650;0;0;0
17/06/2022 10:55:42;2450;0;0;0;2525;0;0;0;2625;0;0;0;2625;0;0;0
17/06/2022 10:56:12;2450;0;0;0;2525;0;0;0;2625;0;0;0;2650;0;0;0
17/06/2022 10:56:43;2450;0;0;0;2525;0;0;0;2625;0;0;0;2625;0;0;0
17/06/2022 10:57:13;2450;0;0;0;2525;0;0;0;2625;0;0;0;2625;0;0;0
17/06/2022 10:57:44;2450;0;0;0;2525;0;0;0;2625;0;0;0;2650;0;0;0
17/06/2022 10:58:14;2450;0;0;0;2500;0;0;0;2625;0;0;0;2650;0;0;0
17/06/2022 10:58:45;2450;0;0;0;2500;0;0;0;2625;0;0;0;2650;0;0;0
